category,date and time,from,comment,,,,,,,,,,,,,,,,,
Flagged or Reported,2023-10-15T04:04:09Z,ITS_ PINKY,Im sorry I'm Indonesia,,0,,https://yt3.ggpht.com/aFFlcFsCFl6x7CDRwNcVQUYGLHO52Tw_K8LpvMzk_MnrjWtVciseVoO74lrA-z9IFbzjwIopZA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjCRVkRpUlHqfp_gdpaBPOA,{'value': 'UCjCRVkRpUlHqfp_gdpaBPOA'},UCAQg09FkoobmLquNNoO4ulg,lKkIBuBKaYQ,Im sorry I&#39;m Indonesia,,TRUE,none,0,,,2023-10-15T04:04:09Z,en
Flagged or Reported,2023-10-15T04:00:52Z,Usha m,American English,,1,,https://yt3.ggpht.com/ytc/APkrFKYIjAZ35MFIBV8AE3gLVGLMayYkh30VAs_ma4SNgA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSv68BgvNWFcgGGdjxBvLyw,{'value': 'UCSv68BgvNWFcgGGdjxBvLyw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American English,,TRUE,none,0,,,2023-10-15T04:00:52Z,en
compliment,2023-10-15T03:57:36Z,Thandar MayOo,thanks a lot teacher❤,,,,,,,,,,,,,,,,,
Flagged or Reported,2023-10-15T03:26:21Z,my dreams mm,American,,3,,https://yt3.ggpht.com/P8FRE-AkxQArvRfemYoZ3mjJ2iOIj_BJHwnIjbUCdRI6jlSuUO3Kl1FP6HB_azyyXCyz_DNmfg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIzLlhvBSmWq7QOhP_kNerA,{'value': 'UCIzLlhvBSmWq7QOhP_kNerA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American,,TRUE,none,0,,,2023-10-15T03:26:21Z,en
Flagged or Reported,2023-10-15T02:42:07Z,MrCodesYt,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.

3 x 🇺🇸
1 x 🇬🇧
1 x 🇦🇺",,4,,https://yt3.ggpht.com/49FlPza06B7Ol1-600H4zf1lJ7P5Fsl0qkIoiOIRpHzhbLa0r_gge0-sagXLKzUZP3d-lUQdAw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeeiZqY6_7mtGSJLdw1x5Rw,{'value': 'UCeeiZqY6_7mtGSJLdw1x5Rw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.<br><br>3 x 🇺🇸<br>1 x 🇬🇧<br>1 x 🇦🇺",,TRUE,none,0,,,2023-10-15T02:42:07Z,en
Flagged or Reported,2023-10-15T02:34:10Z,Anisa aragsan,Justa learning 1000 words but after minutes forget 999 words 😮,,5,,https://yt3.ggpht.com/ytc/APkrFKYk7_fRZDn30rdwqtmSJNNVsOAYYwx0d20tOw3tGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCD2p2xO92JiYNzOhbIx0uGg,{'value': 'UCD2p2xO92JiYNzOhbIx0uGg'},UCAQg09FkoobmLquNNoO4ulg,qXtKaqJrWCQ,Justa learning 1000 words but after minutes forget 999 words 😮,,TRUE,none,0,,,2023-10-15T02:34:10Z,en
Flagged or Reported,2023-10-15T02:27:55Z,Floralis Garcia,Candy* United States/me calamelo*cuba,,6,,https://yt3.ggpht.com/ytc/APkrFKbPL2TTOtGpVB4TjoS35jV1UoFwvVzDcdshYQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKwhJOaiWND4hA8iPiJyYDA,{'value': 'UCKwhJOaiWND4hA8iPiJyYDA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Candy* United States/me calamelo*cuba,,TRUE,none,0,,,2023-10-15T02:27:55Z,en
Flagged or Reported,2023-10-15T02:26:50Z,ELITE SEMI,the last one was a dildo,,7,,https://yt3.ggpht.com/BWGmeGxNwykLJa2O-yUMo-NNh587ZNEzYkWdF64us57i52jUDFNRf5TjuHpEsRCwZvUBtsMP8Z4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UChGujcleMYSMUHFTW1vY9rQ,{'value': 'UChGujcleMYSMUHFTW1vY9rQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,the last one was a dildo,,TRUE,none,0,,,2023-10-15T02:26:50Z,en
Flagged or Reported,2023-10-15T02:24:01Z,Gamer AK,I said toffee😂,,8,,https://yt3.ggpht.com/DYStgUw138Lowu1SQ1tUovqg9ppDldGGKj7fyi2frq2RaptkFAmKuCyBtOPS1TEpKVBgncpXOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuXmb4nfjt6YRbbm_V8ZiSA,{'value': 'UCuXmb4nfjt6YRbbm_V8ZiSA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I said toffee😂,,TRUE,none,0,,,2023-10-15T02:24:01Z,en
Flagged or Reported,2023-10-15T02:10:45Z,SP GAMING,And what about chocolate😂,,9,,https://yt3.ggpht.com/f3nI1s6sXsystUS97HE2rIQfdlwYQ1LyT3kj5OHZsliZHwtGV6rmDjXI5J4QK3tnMxT4hvAL_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPu3aOEFq4e8FF6GigkcOpQ,{'value': 'UCPu3aOEFq4e8FF6GigkcOpQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,And what about chocolate😂,,TRUE,none,1,,,2023-10-15T02:10:45Z,en
Flagged or Reported,2023-10-15T01:13:39Z,Lavender,"There is no such thing as an ""American"" accent. Its very regional",,11,,https://yt3.ggpht.com/0DLTVlZvUoKTrWWmhegS9Syn7ZlckIQ2-pWmo5WYEcMLJbNOr9zOmWQXN_-qRG564Rd3H3QXwA4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSLB0E3jkLM3T0U8VEjen7w,{'value': 'UCSLB0E3jkLM3T0U8VEjen7w'},UCAQg09FkoobmLquNNoO4ulg,tzSKTg4KuZY,There is no such thing as an &quot;American&quot; accent. Its very regional,,TRUE,none,0,,,2023-10-15T01:13:39Z,en
Flagged or Reported,2023-10-15T00:30:44Z,A-51 Labs Studio,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,,12,,https://yt3.ggpht.com/N-uXteK6aFIIV80KojTVZ0CrW4RtlfkKJA-nCGBvs5Js6xx2dQ4r9Ljb_LDJgsPNshXlz-3yXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCR2-0-BNGU3zHjEUZwmO2HQ,{'value': 'UCR2-0-BNGU3zHjEUZwmO2HQ'},UCAQg09FkoobmLquNNoO4ulg,f9ED2shSRJg,Working with Americans and Canadians who&#39;ll exploit you unless you&#39;re a top professional.  This is rubbish Marina. Stick to your English.,,TRUE,none,0,,,2023-10-15T00:30:44Z,en
